candidate,r1_active_percent,r1_count,r1_transfer
MARY KAY LACEY,30.405,1990.0,
LORI DROSTE,56.18,3677.0,
ALFRED TWU,10.619,695.0,
RUSS TILLEMAN,2.796,183.0,
exhaust,0.0,15.0,
colsum,100.00000000000001,6560.0,
