candidate,r1_percent,r1_count,r1_transfer
DENISHA DELANE,28.101,1631.0,4
DARRYL MOORE,58.701,3407.0,5
ADOLFO CABRAL,12.681,736.0,4
writeIns,0.517,30.0,-30
exhaust,0.0,0.0,17
colsum,99.99999999999999,5804.0,0
