candidate,r1_active_percent,r1_count,r1_transfer
Manuel B. Valle,4.997,8820.0,
Jose Cisneros,61.281,108155.0,
Calvin Louie,24.557,43341.0,
Isaac Wang,9.165,16175.0,
exhaust,0.0,608.0,
colsum,100.0,177099.0,
