candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer,r11_active_percent,r11_count,r11_transfer,r12_active_percent,r12_count,r12_transfer,r13_active_percent,r13_count,r13_transfer,r14_active_percent,r14_count,r14_transfer,r15_active_percent,r15_count,r15_transfer,r16_active_percent,r16_count,r16_transfer,r17_active_percent,r17_count,r17_transfer,r18_active_percent,r18_count,r18_transfer
"Ward, Larry W.",5.27,835.0,17.0,5.377,852.0,8.0,5.428,860.0,11.0,5.497,871.0,0.0,5.503,871.0,1.0,5.514,872.0,5.0,5.55,877.0,12.0,5.637,889.0,26.0,5.812,915.0,0.0,5.812,915.0,27.0,6.007,942.0,52.0,6.398,994.0,122.0,7.24,1116.0,102.0,8.004,1218.0,7.0,8.05,1225.0,3.0,8.07,1228.0,3.0,8.09,1231.0,-1231.0,0.0,0.0,
"Simmons, E. Denise",7.99,1266.0,32.0,8.192,1298.0,20.0,8.318,1318.0,16.0,8.419,1334.0,0.0,8.428,1334.0,4.0,8.461,1338.0,5.0,8.498,1343.0,8.0,8.567,1351.0,17.0,8.689,1368.0,0.0,8.689,1368.0,25.0,8.882,1393.0,24.0,9.12,1417.0,69.0,9.641,1486.0,169.0,10.876,1655.0,-70.0,10.416,1585.0,0.0,10.416,1585.0,0.0,10.416,1585.0,0.0,10.824,1585.0,
"Williamson, James M.",1.104,175.0,0.0,1.104,175.0,1.0,1.111,176.0,3.0,1.13,179.0,1.0,1.137,180.0,2.0,1.151,182.0,6.0,1.19,188.0,7.0,1.237,195.0,-195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Kelley, Craig A.",6.93,1098.0,44.0,7.207,1142.0,10.0,7.27,1152.0,20.0,7.397,1172.0,1.0,7.41,1173.0,4.0,7.443,1177.0,6.0,7.486,1183.0,8.0,7.552,1191.0,10.0,7.628,1201.0,0.0,7.628,1201.0,54.0,8.002,1255.0,140.0,8.979,1395.0,46.0,9.349,1441.0,155.0,10.488,1596.0,9.0,10.547,1605.0,-20.0,10.416,1585.0,0.0,10.416,1585.0,0.0,10.824,1585.0,
"Decker, Marjorie C.",7.087,1123.0,44.0,7.365,1167.0,18.0,7.479,1185.0,33.0,7.687,1218.0,1.0,7.701,1219.0,2.0,7.721,1221.0,3.0,7.745,1224.0,9.0,7.819,1233.0,11.0,7.901,1244.0,1.0,7.908,1245.0,41.0,8.2,1286.0,34.0,8.496,1320.0,80.0,9.083,1400.0,174.0,10.344,1574.0,14.0,10.436,1588.0,3.0,10.455,1591.0,-6.0,10.416,1585.0,0.0,10.824,1585.0,
"Marquardt, Charles J.",3.162,501.0,16.0,3.263,517.0,7.0,3.307,524.0,4.0,3.332,528.0,1.0,3.342,529.0,4.0,3.37,533.0,3.0,3.392,536.0,16.0,3.5,552.0,8.0,3.557,560.0,0.0,3.557,560.0,26.0,3.737,586.0,-586.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Moree, Gregg J.",0.353,56.0,1.0,0.36,57.0,2.0,0.372,59.0,2.0,0.385,61.0,0.0,0.385,61.0,-61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Davis, Henrietta",9.063,1436.0,83.0,9.587,1519.0,10.0,9.65,1529.0,27.0,9.82,1556.0,1.0,9.836,1557.0,2.0,9.858,1559.0,2.0,9.878,1561.0,7.0,9.943,1568.0,18.0,10.074,1586.0,-1.0,10.067,1585.0,0.0,10.106,1585.0,0.0,10.201,1585.0,0.0,10.283,1585.0,0.0,10.416,1585.0,0.0,10.416,1585.0,0.0,10.416,1585.0,0.0,10.416,1585.0,0.0,10.824,1585.0,
"Stohlman, Jr., Thomas J.",2.171,344.0,15.0,2.266,359.0,3.0,2.285,362.0,8.0,2.335,370.0,1.0,2.344,371.0,3.0,2.365,374.0,9.0,2.424,383.0,12.0,2.505,395.0,20.0,2.636,415.0,0.0,2.636,415.0,-415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
writeIns,0.151,24.0,0.0,0.151,24.0,1.0,0.158,25.0,0.0,0.158,25.0,-25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
