candidate,r1_percent,r1_count,r1_transfer
Bob Carney Jr.,0.505,228.0,10
Bill McGaughey,0.514,232.0,5
Phil Willkie,0.303,137.0,-137
writeIns,0.467,211.0,1
James R. Everett,0.791,357.0,8
Joey Lombard,0.983,444.0,9
Papa John Kolstad,10.968,4953.0,18
R.T. Rybak,73.597,33234.0,15
Christopher Clark,2.961,1337.0,8
Tom Fiske,1.439,650.0,12
Al Flowers,3.975,1795.0,11
Dick Franson,3.497,1579.0,5
exhaust,0.0,0.0,35
colsum,99.99999999999999,45157.0,0
