candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer
DIANA SOUZA,36.708,5950.0,9,36.818,5959.0,607,42.728,6566.0,-6566
DAN DILLMAN,13.856,2246.0,65,14.279,2311.0,-2311,0.0,0.0,0
GREGG DALY,0.765,124.0,-124,0.0,0.0,0,0.0,0.0,0
PAULINE RUSSO CUTTER,48.67,7889.0,26,48.903,7915.0,886,57.272,8801.0,4583
exhaust,0.0,0.0,24,0.0,24.0,818,0.0,842.0,1983
colsum,99.999,16209.0,0,100.0,16209.0,0,100.0,16209.0,0
