candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer,r4_percent,r4_count,r4_transfer,r5_percent,r5_count,r5_transfer
James Simpson,0.39,35.0,-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andy Montroll,22.984,2063.0,4,23.036,2067.0,13,23.209,2080.0,474,28.927,2554.0,-2554,0.0,0.0,0.0
Kurt Wright,32.877,2951.0,4,32.932,2955.0,5,33.028,2960.0,334,37.309,3294.0,766,48.489,4060.0,-4060
writeIns,0.401,36.0,1,0.412,37.0,-37,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
Bob Kiss,28.799,2585.0,14,28.965,2599.0,6,29.067,2605.0,376,33.764,2981.0,1332,51.511,4313.0,1867
Dan Smith,14.55,1306.0,9,14.655,1315.0,2,14.695,1317.0,-1317,0.0,0.0,0,0.0,0.0,0
exhaust,0.0,0.0,3,0.0,3.0,11,0.0,14.0,133,0.0,147.0,456,0.0,603.0,2193
colsum,100.001,8976.0,0,100.0,8976.0,0.0,99.999,8976.0,0.0,100.0,8976.0,0.0,100.0,8976.0,0.0
