candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer,r4_percent,r4_count,r4_transfer
Dana Hansen,4.18,220.0,1,4.204,221.0,-221,0.0,0.0,0.0,0.0,0.0,
writeIns,0.209,11.0,-11,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,
Phillipe M. Cunningham,40.661,2140.0,3,40.765,2143.0,40,42.339,2183.0,422,51.738,2605.0,
Stephanie Gasca,12.046,634.0,0,12.06,634.0,45,13.169,679.0,-679,0.0,0.0,
"Barbara A. ""Barb"" Johnson",42.903,2258.0,1,42.971,2259.0,35,44.492,2294.0,136,48.262,2430.0,
exhaust,0.0,0.0,6,0.0,6.0,101,0.0,107.0,121,0.0,228.0,
colsum,99.999,5263.0,0,100.0,5263.0,0,100.0,5263.0,0.0,100.0,5263.0,
