candidate,r1_percent,r1_count,r1_transfer
Linea Palmisano,83.173,9411.0,
writeIns,0.601,68.0,
Bob Reuer,16.226,1836.0,
exhaust,0.0,0.0,
colsum,100.0,11315.0,
