candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer
Marcus Harcus,13.398,442.0,0.0,13.41,442.0,66,16.355,508.0,-508
Barbara A. Johnson,46.863,1546.0,1,46.936,1547.0,71,52.093,1618.0,122
Troy Parker,27.918,921.0,0,27.943,921.0,59,31.552,980.0,272
writeIns,0.121,4.0,-4,0.0,0.0,0,0.0,0.0,0
Grant Cermak,11.701,386.0,0,11.711,386.0,-386,0.0,0.0,0
exhaust,0.0,0.0,3,0.0,3.0,190,0.0,193.0,114
colsum,100.001,3299.0,0.0,100.0,3299.0,0,100.0,3299.0,0
