candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer,r4_percent,r4_count,r4_transfer,r5_percent,r5_count,r5_transfer,r6_percent,r6_count,r6_transfer,r7_percent,r7_count,r7_transfer,r8_percent,r8_count,r8_transfer,r9_percent,r9_count,r9_transfer,r10_percent,r10_count,r10_transfer,r11_percent,r11_count,r11_transfer,r12_percent,r12_count,r12_transfer,r13_percent,r13_count,r13_transfer,r14_percent,r14_count,r14_transfer,r15_percent,r15_count,r15_transfer,r16_percent,r16_count,r16_transfer,r17_percent,r17_count,r17_transfer,r18_percent,r18_count,r18_transfer,r19_percent,r19_count,r19_transfer,r20_percent,r20_count,r20_transfer
Michael E. O'connor,2.472,868.0,2,2.479,870.0,3,2.488,873.0,4,2.5,877.0,5,2.516,882.0,24,2.588,906.0,24,2.66,930.0,14,2.706,944.0,29,2.796,973.0,39,2.918,1012.0,24,3.0,1036.0,43,3.15,1079.0,48,3.312,1127.0,-1127,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
Joseph Blue,2.284,802.0,3,2.293,805.0,2,2.3,807.0,5,2.315,812.0,2,2.322,814.0,5,2.339,819.0,23,2.408,842.0,9,2.439,851.0,9,2.471,860.0,16,2.526,876.0,32,2.629,908.0,-908,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
Phoenix Streets,1.871,657.0,1,1.875,658.0,2,1.881,660.0,6,1.899,666.0,7,1.919,673.0,26,1.997,699.0,15,2.042,714.0,17,2.095,731.0,21,2.161,752.0,19,2.223,771.0,-771,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
Patrick M. Ciocca,0.259,91.0,0,0.259,91.0,0,0.259,91.0,-91,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
Dan Kalb,3.982,1398.0,2,3.988,1400.0,0,3.99,1400.0,2,3.997,1402.0,10,4.027,1412.0,18,4.085,1430.0,19,4.144,1449.0,17,4.202,1466.0,27,4.291,1493.0,47,4.441,1540.0,42,4.581,1582.0,28,4.699,1610.0,88,4.99,1698.0,41,5.167,1739.0,128,5.63,1867.0,-1867,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
Jim Siegel,4.386,1540.0,2,4.393,1542.0,1,4.398,1543.0,5,4.413,1548.0,3,4.424,1551.0,14,4.47,1565.0,43,4.599,1608.0,31,4.698,1639.0,18,4.762,1657.0,86,5.026,1743.0,20,5.105,1763.0,57,5.312,1820.0,46,5.484,1866.0,187,6.1,2053.0,58,6.366,2111.0,73,6.705,2184.0,58,7.045,2242.0,-2242,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
Francis Somesel,1.048,368.0,0,1.048,368.0,2,1.054,370.0,2,1.061,372.0,7,1.081,379.0,2,1.088,381.0,-381,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
Rob Anderson,0.957,336.0,5,0.971,341.0,1,0.975,342.0,2,0.981,344.0,2,0.987,346.0,-346,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
exhaust,0.0,0.0,8,0.0,8.0,13,0.0,21.0,12,0.0,33.0,14,0.0,47.0,52,0.0,99.0,48,0.0,147.0,72,0.0,219.0,93,0.0,312.0,117,0.0,429.0,143,0.0,572.0,278,0.0,850.0,230,0.0,1080.0,372,0.0,1452.0,495,0.0,1947.0,591,0.0,2538.0,747,0.0,3285.0,1071,0.0,4356.0,1725,0.0,6081.0,2917,0.0,8998.0,3485
colsum,100.0,35109.0,0,100.00000000000001,35109.0,0,99.99999999999997,35109.0,0,99.999,35109.0,0,100.001,35109.0,0,100.00099999999999,35109.0,0,100.0,35109.0,0,100.001,35109.0,0,100.00000000000001,35109.0,0,100.0,35109.0,0,100.00100000000002,35109.0,0,99.99900000000001,35109.0,0,100.00099999999999,35109.0,0,100.0,35109.0,0,100.0,35109.0,0,99.999,35109.0,0,100.001,35109.0,0,100.00000000000001,35109.0,0,100.0,35109.0,0,100.0,35109.0,0
