candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer
AK Hassan,48.489,7094.0,3.0,48.653,7097.0,656.0,57.033,7753.0,
Charles Exner,14.142,2069.0,4.0,14.211,2073.0,-2073.0,0.0,0.0,
writeIns,0.355,52.0,-52.0,0.0,0.0,0.0,0.0,0.0,
Abdi Gurhan Mohamed,37.013,5415.0,2.0,37.136,5417.0,424.0,42.967,5841.0,
exhaust,0.0,15.0,43.0,0.0,58.0,993.0,0.0,1051.0,
colsum,99.999,14645.0,0.0,100.0,14645.0,0.0,100.0,14645.0,
