candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer,r4_percent,r4_count,r4_transfer
Joseph M. Maestas,8.003,1649.0,169,8.885,1818.0,-1818,0.0,0.0,0.0,0.0,0.0,0.0
Alan Webber,39.216,8080.0,394,41.415,8474.0,618,44.764,9092.0,3996,66.188,13088.0,4499
Ronald S. Trujillo,24.393,5026.0,215,25.615,5241.0,413,27.837,5654.0,1032,33.812,6686.0,-6686
Peter N. Ives,6.009,1238.0,-1238,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
Kate I. Noble,22.379,4611.0,317,24.085,4928.0,637,27.399,5565.0,-5565,0.0,0.0,0
exhaust,0.0,0.0,143,0.0,143.0,150,0.0,293.0,537,0.0,830.0,2187
colsum,100.0,20604.0,0,100.0,20604.0,0,100.0,20604.0,0.0,100.0,20604.0,0.0
