candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer
MISTY CROSS,0.174,39.0,-39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
JUMOKE HINTON HODGE,39.842,8905.0,6.0,39.911,8911.0,317.0,42.149,9228.0,1568.0,52.393,10796.0,
LUCKY NARAIN,7.23,1616.0,0.0,7.238,1616.0,-1616.0,0.0,0.0,0.0,0.0,0.0,
KHARYSHI ''MS. K'' WIGINTON,33.108,7400.0,7.0,33.175,7407.0,282.0,35.119,7689.0,2121.0,47.607,9810.0,
BENJAMIN LANG,19.646,4391.0,2.0,19.676,4393.0,584.0,22.732,4977.0,-4977.0,0.0,0.0,
exhaust,0.0,107.0,24.0,0.0,131.0,433.0,0.0,564.0,1288.0,0.0,1852.0,
colsum,99.99999999999999,22458.0,0.0,100.0,22458.0,0.0,100.0,22458.0,0.0,100.0,22458.0,
