candidate,r1_active_percent,r1_count,r1_transfer
writeIns,1.233,1204.0,
MICHAEL KILIAN,31.842,31086.0,
COURTNEY RUBY,66.924,65335.0,
exhaust,0.0,122.0,
colsum,99.999,97747.0,
