candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer
Eric John Holmes,26.638,1305.0,-1305,0.0,0.0,0.0
Greg Scargall,30.067,1473.0,505,43.54,1978.0,-1978
JoAnne Vigil Coppler,43.295,2121.0,444,56.46,2565.0,1626
exhaust,0.0,0.0,356,0.0,356.0,352
colsum,100.0,4899.0,0,100.0,4899.0,0.0
