candidate,r1_active_percent,r1_count,r1_transfer
PAULINE RUSSO CUTTER,51.782,13355.0,
BENNY LEE,27.316,7045.0,
DAN DILLMAN,7.072,1824.0,
JEROMEY SHAFER,13.83,3567.0,
exhaust,0.0,124.0,
colsum,100.0,25915.0,
