candidate,r1_active_percent,r1_count,r1_transfer
Nate Downey,32.337,2023.0,
Joe H. Arellano,14.754,923.0,
Carol Romero-Wirth,52.909,3310.0,
exhaust,0.0,4.0,
colsum,100.0,6260.0,
