candidate,r1_active_percent,r1_count,r1_transfer
NANCY SIDEBOTHAM,3.624,5799.0,
FRANCIS ''MATT'' HUMMEL,7.245,11593.0,
BRUCE QUAN,17.086,27342.0,
PEGGY MOORE,19.95,31925.0,
REBECCA KAPLAN,52.095,83365.0,
exhaust,0.0,1254.0,
colsum,100.0,161278.0,
