candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer,r11_active_percent,r11_count,r11_transfer,r12_active_percent,r12_count,r12_transfer,r13_active_percent,r13_count,r13_transfer,r14_active_percent,r14_count,r14_transfer,r15_active_percent,r15_count,r15_transfer,r16_active_percent,r16_count,r16_transfer,r17_active_percent,r17_count,r17_transfer,r18_active_percent,r18_count,r18_transfer,r19_active_percent,r19_count,r19_transfer,r20_active_percent,r20_count,r20_transfer,r21_active_percent,r21_count,r21_transfer
ASHLEY H RHODES,1.46,260.0,0.0,1.461,260.0,2.0,1.473,262.0,1.0,1.479,263.0,2.0,1.493,265.0,12.0,1.565,277.0,1.0,1.576,278.0,-278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TERESA DUQUE,8.092,1441.0,0.0,8.096,1441.0,2.0,8.112,1443.0,6.0,8.151,1449.0,7.0,8.202,1456.0,3.0,8.245,1459.0,5.0,8.297,1464.0,3.0,8.348,1467.0,6.0,8.428,1473.0,10.0,8.543,1483.0,12.0,8.688,1495.0,4.0,8.758,1499.0,13.0,8.935,1512.0,5.0,9.106,1517.0,25.0,9.373,1542.0,32.0,9.863,1574.0,-1574.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DIANE WESLEY SMITH,2.241,399.0,0.0,2.242,399.0,1.0,2.249,400.0,0.0,2.25,400.0,12.0,2.321,412.0,16.0,2.419,428.0,4.0,2.448,432.0,29.0,2.623,461.0,15.0,2.724,476.0,23.0,2.874,499.0,16.0,2.993,515.0,11.0,3.073,526.0,41.0,3.351,567.0,-567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
STEVE MOSS,11.057,1969.0,0.0,11.063,1969.0,2.0,11.08,1971.0,6.0,11.121,1977.0,2.0,11.148,1979.0,8.0,11.229,1987.0,12.0,11.329,1999.0,4.0,11.398,2003.0,10.0,11.518,2013.0,34.0,11.791,2047.0,12.0,11.965,2059.0,47.0,12.304,2106.0,33.0,12.64,2139.0,23.0,12.978,2162.0,93.0,13.707,2255.0,109.0,14.814,2364.0,76.0,15.896,2440.0,169.0,17.797,2609.0,-2609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
JACKIE NORMAN,1.044,186.0,0.0,1.045,186.0,2.0,1.057,188.0,3.0,1.074,191.0,2.0,1.087,193.0,-193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TONY KELLY,11.804,2102.0,0.0,11.81,2102.0,6.0,11.85,2108.0,3.0,11.875,2111.0,21.0,12.01,2132.0,4.0,12.071,2136.0,3.0,12.122,2139.0,11.0,12.235,2150.0,5.0,12.33,2155.0,25.0,12.558,2180.0,5.0,12.698,2185.0,96.0,13.327,2281.0,29.0,13.651,2310.0,16.0,13.962,2326.0,84.0,14.65,2410.0,229.0,16.537,2639.0,22.0,17.336,2661.0,197.0,19.495,2858.0,534.0,25.456,3392.0,184.0,32.432,3576.0,303.0,47.305,3879.0,
NYESE JOSHUA,0.758,135.0,0.0,0.759,135.0,6.0,0.793,141.0,6.0,0.827,147.0,-147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
writeIns,0.095,17.0,-17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GEOFFREA MORRIS,1.87,333.0,0.0,1.871,333.0,0.0,1.872,333.0,3.0,1.89,336.0,8.0,1.938,344.0,5.0,1.972,349.0,3.0,1.995,352.0,4.0,2.026,356.0,17.0,2.134,373.0,2.0,2.16,375.0,-375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MALIA COHEN,11.776,2097.0,1.0,11.788,2098.0,2.0,11.805,2100.0,5.0,11.841,2105.0,6.0,11.892,2111.0,21.0,12.048,2132.0,22.0,12.207,2154.0,40.0,12.485,2194.0,21.0,12.674,2215.0,29.0,12.926,2244.0,56.0,13.366,2300.0,86.0,13.94,2386.0,37.0,14.319,2423.0,50.0,14.845,2473.0,57.0,15.379,2530.0,147.0,16.775,2677.0,64.0,17.857,2741.0,488.0,22.026,3229.0,272.0,26.274,3501.0,619.0,37.366,4120.0,201.0,52.695,4321.0,
CHRIS JACKSON,6.11,1088.0,0.0,6.113,1088.0,6.0,6.15,1094.0,4.0,6.177,1098.0,12.0,6.253,1110.0,16.0,6.363,1126.0,8.0,6.427,1134.0,9.0,6.504,1143.0,24.0,6.677,1167.0,13.0,6.797,1180.0,16.0,6.95,1196.0,40.0,7.221,1236.0,45.0,7.57,1281.0,45.0,7.96,1326.0,44.0,8.328,1370.0,-1370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
LYNETTE SWEET,12.073,2150.0,3.0,12.097,2153.0,3.0,12.12,2156.0,6.0,12.162,2162.0,8.0,12.224,2170.0,19.0,12.37,2189.0,38.0,12.621,2227.0,16.0,12.764,2243.0,35.0,13.034,2278.0,13.0,13.197,2291.0,47.0,13.587,2338.0,17.0,13.759,2355.0,41.0,14.159,2396.0,91.0,14.929,2487.0,56.0,15.458,2543.0,139.0,16.807,2682.0,30.0,17.668,2712.0,168.0,19.645,2880.0,321.0,24.023,3201.0,-3201.0,0.0,0.0,0.0,0.0,0.0,
ERIC SMITH,2.516,448.0,0.0,2.517,448.0,3.0,2.535,451.0,3.0,2.554,454.0,0.0,2.557,454.0,5.0,2.594,459.0,3.0,2.618,462.0,3.0,2.646,465.0,9.0,2.712,474.0,6.0,2.765,480.0,4.0,2.813,484.0,-484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MARLENE TRAN,11.506,2049.0,0.0,11.513,2049.0,3.0,11.535,2052.0,7.0,11.582,2059.0,12.0,11.666,2071.0,1.0,11.709,2072.0,2.0,11.754,2074.0,22.0,11.927,2096.0,8.0,12.039,2104.0,12.0,12.189,2116.0,8.0,12.343,2124.0,8.0,12.456,2132.0,37.0,12.818,2169.0,15.0,13.11,2184.0,32.0,13.47,2216.0,84.0,14.413,2300.0,739.0,19.798,3039.0,45.0,21.037,3084.0,147.0,24.248,3231.0,99.0,30.201,3330.0,-3330.0,0.0,0.0,
JAMES M. CALLOWAY,2.342,417.0,1.0,2.349,418.0,4.0,2.372,422.0,8.0,2.419,430.0,4.0,2.445,434.0,3.0,2.469,437.0,6.0,2.511,443.0,21.0,2.64,464.0,14.0,2.735,478.0,16.0,2.846,494.0,17.0,2.97,511.0,11.0,3.05,522.0,-522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ELLSWORTH ''ELL'' JENNISON,0.382,68.0,0.0,0.382,68.0,-68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
STEPHEN WEBER,1.746,311.0,0.0,1.747,311.0,4.0,1.771,315.0,1.0,1.778,316.0,2.0,1.791,318.0,3.0,1.814,321.0,5.0,1.848,326.0,13.0,1.929,339.0,10.0,1.997,349.0,-349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
M.J. MARIE FRANKLIN,0.455,81.0,0.0,0.455,81.0,4.0,0.478,85.0,-85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
KRISTINE ENEA,3.055,544.0,0.0,3.057,544.0,4.0,3.081,548.0,4.0,3.105,552.0,3.0,3.126,555.0,4.0,3.159,559.0,5.0,3.196,564.0,14.0,3.289,578.0,7.0,3.347,585.0,25.0,3.514,610.0,7.0,3.586,617.0,17.0,3.704,634.0,20.0,3.865,654.0,19.0,4.04,673.0,-673.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"RODNEY HAMPTON, JR.",1.331,237.0,0.0,1.332,237.0,2.0,1.344,239.0,4.0,1.367,243.0,8.0,1.414,251.0,10.0,1.475,261.0,19.0,1.587,280.0,10.0,1.65,290.0,-290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DEWITT M. LACY,7.154,1274.0,2.0,7.169,1276.0,3.0,7.19,1279.0,3.0,7.212,1282.0,10.0,7.278,1292.0,6.0,7.335,1298.0,19.0,7.464,1317.0,7.0,7.534,1324.0,13.0,7.65,1337.0,24.0,7.84,1361.0,23.0,8.043,1384.0,55.0,8.407,1439.0,32.0,8.693,1471.0,40.0,9.07,1511.0,74.0,9.635,1585.0,137.0,10.791,1722.0,35.0,11.446,1757.0,-1757.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ED DONALDSON,1.134,202.0,0.0,1.135,202.0,0.0,1.136,202.0,0.0,1.136,202.0,3.0,1.155,205.0,1.0,1.164,206.0,-206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
exhaust,0.0,500.0,10.0,0.0,510.0,9.0,0.0,519.0,12.0,0.0,531.0,25.0,0.0,556.0,56.0,0.0,612.0,51.0,0.0,663.0,72.0,0.0,735.0,96.0,0.0,831.0,117.0,0.0,948.0,152.0,0.0,1100.0,92.0,0.0,1192.0,194.0,0.0,1386.0,263.0,0.0,1649.0,208.0,0.0,1857.0,493.0,0.0,2350.0,608.0,0.0,2958.0,690.0,0.0,3648.0,1335.0,0.0,4983.0,2299.0,0.0,7282.0,2826.0,0.0,10108.0,
colsum,100.001,18308.0,0.0,100.001,18308.0,0.0,100.00299999999997,18308.0,0.0,100.00000000000001,18308.0,0.0,100.00000000000001,18308.0,0.0,100.00099999999999,18308.0,0.0,100.0,18308.0,0.0,99.998,18308.0,0.0,99.99900000000001,18308.0,0.0,100.00000000000001,18308.0,0.0,100.00200000000001,18308.0,0.0,99.99899999999998,18308.0,0.0,100.00099999999999,18308.0,0.0,100.0,18308.0,0.0,100.0,18308.0,0.0,99.99999999999999,18308.0,0.0,100.001,18308.0,0.0,100.0,18308.0,0.0,100.001,18308.0,0.0,99.999,18308.0,0.0,100.0,18308.0,
