candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer,r11_active_percent,r11_count,r11_transfer,r12_active_percent,r12_count,r12_transfer,r13_active_percent,r13_count,r13_transfer,r14_active_percent,r14_count,r14_transfer,r15_active_percent,r15_count,r15_transfer,r16_active_percent,r16_count,r16_transfer,r17_active_percent,r17_count,r17_transfer,r18_active_percent,r18_count,r18_transfer,r19_active_percent,r19_count,r19_transfer
"Condit, James E., III",0.368,63.0,4.0,0.391,67.0,0.0,0.391,67.0,0.0,0.391,67.0,0.0,0.392,67.0,6.0,0.427,73.0,-73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Simmons, Denise",7.819,1339.0,77.0,8.268,1416.0,11.0,8.332,1427.0,5.0,8.362,1432.0,0.0,8.368,1432.0,7.0,8.412,1439.0,5.0,8.446,1444.0,5.0,8.486,1449.0,1.0,8.491,1450.0,7.0,8.541,1457.0,22.0,8.68,1479.0,2.0,8.692,1481.0,67.0,9.102,1548.0,18.0,9.272,1566.0,140.0,10.152,1706.0,150.0,11.127,1856.0,-143.0,10.27,1713.0,0.0,10.27,1713.0,0.0,10.864,1713.0,
"Galluccio, Anthony D.",18.86,3230.0,-1517.0,10.002,1713.0,0.0,10.002,1713.0,0.0,10.002,1713.0,0.0,10.011,1713.0,0.0,10.014,1713.0,0.0,10.019,1713.0,0.0,10.032,1713.0,0.0,10.032,1713.0,0.0,10.042,1713.0,0.0,10.053,1713.0,0.0,10.053,1713.0,0.0,10.072,1713.0,0.0,10.143,1713.0,0.0,10.193,1713.0,0.0,10.27,1713.0,0.0,10.27,1713.0,0.0,10.27,1713.0,0.0,10.864,1713.0,
"Davis, Henrietta",10.002,1713.0,84.0,10.493,1797.0,-84.0,10.002,1713.0,0.0,10.002,1713.0,0.0,10.011,1713.0,0.0,10.014,1713.0,0.0,10.019,1713.0,0.0,10.032,1713.0,0.0,10.032,1713.0,0.0,10.042,1713.0,0.0,10.053,1713.0,0.0,10.053,1713.0,0.0,10.072,1713.0,0.0,10.143,1713.0,0.0,10.193,1713.0,0.0,10.27,1713.0,0.0,10.27,1713.0,0.0,10.27,1713.0,0.0,10.864,1713.0,
"Reeves, Kenneth E.",6.662,1141.0,144.0,7.503,1285.0,8.0,7.55,1293.0,7.0,7.591,1300.0,4.0,7.62,1304.0,3.0,7.641,1307.0,2.0,7.656,1309.0,10.0,7.724,1319.0,1.0,7.73,1320.0,7.0,7.779,1327.0,9.0,7.841,1336.0,0.0,7.841,1336.0,19.0,7.967,1355.0,23.0,8.159,1378.0,31.0,8.384,1409.0,88.0,8.975,1497.0,51.0,9.281,1548.0,5.0,9.311,1553.0,315.0,11.848,1868.0,
"Hall, Robert L.",0.893,153.0,26.0,1.045,179.0,0.0,1.045,179.0,0.0,1.045,179.0,0.0,1.046,179.0,2.0,1.058,181.0,3.0,1.076,184.0,2.0,1.089,186.0,0.0,1.089,186.0,15.0,1.178,201.0,4.0,1.203,205.0,0.0,1.203,205.0,-205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Pitkin, John",6.37,1091.0,39.0,6.598,1130.0,13.0,6.674,1143.0,13.0,6.75,1156.0,1.0,6.761,1157.0,6.0,6.799,1163.0,1.0,6.808,1164.0,4.0,6.84,1168.0,0.0,6.84,1168.0,16.0,6.941,1184.0,25.0,7.095,1209.0,0.0,7.095,1209.0,11.0,7.174,1220.0,24.0,7.366,1244.0,88.0,7.926,1332.0,125.0,8.735,1457.0,59.0,9.089,1516.0,1.0,9.095,1517.0,-1517.0,0.0,0.0,
"Toomey, Timothy J., Jr.",8.186,1402.0,168.0,9.167,1570.0,3.0,9.185,1573.0,2.0,9.197,1575.0,1.0,9.21,1576.0,2.0,9.225,1578.0,2.0,9.241,1580.0,12.0,9.323,1592.0,6.0,9.358,1598.0,7.0,9.409,1605.0,3.0,9.437,1608.0,0.0,9.437,1608.0,8.0,9.502,1616.0,37.0,9.787,1653.0,20.0,9.955,1673.0,37.0,10.252,1710.0,14.0,10.336,1724.0,-11.0,10.27,1713.0,0.0,10.864,1713.0,
"Sullivan, Michael A.",7.678,1315.0,384.0,9.921,1699.0,3.0,9.938,1702.0,1.0,9.944,1703.0,2.0,9.964,1705.0,5.0,9.996,1710.0,2.0,10.013,1712.0,12.0,10.096,1724.0,-11.0,10.032,1713.0,0.0,10.042,1713.0,0.0,10.053,1713.0,0.0,10.053,1713.0,0.0,10.072,1713.0,0.0,10.143,1713.0,0.0,10.193,1713.0,0.0,10.27,1713.0,0.0,10.27,1713.0,0.0,10.27,1713.0,0.0,10.864,1713.0,
writeIns,0.181,31.0,0.0,0.181,31.0,0.0,0.181,31.0,0.0,0.181,31.0,-31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
