candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer
Kenya McKnight,15.484,336.0,0.0,15.52,336.0,14.0,16.256,350.0,7.0,16.935,357.0,-357.0,0.0,0.0,
Natalie Johnson Lee,30.046,652.0,2.0,30.208,654.0,23.0,31.444,677.0,27.0,33.397,704.0,189.0,44.121,893.0,
Don Samuels,47.005,1020.0,1.0,47.159,1021.0,6.0,47.701,1027.0,20.0,49.668,1047.0,84.0,55.879,1131.0,
Lennie Chism,2.811,61.0,0.0,2.818,61.0,-61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
writeIns,0.369,8.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Roger Smithrud,4.286,93.0,0.0,4.296,93.0,6.0,4.598,99.0,-99.0,0.0,0.0,0.0,0.0,0.0,
exhaust,0.0,0.0,5.0,0.0,5.0,12.0,0.0,17.0,45.0,0.0,62.0,84.0,0.0,146.0,
colsum,100.001,2170.0,0.0,100.001,2170.0,0.0,99.99900000000001,2170.0,0.0,100.0,2170.0,0.0,100.0,2170.0,
