candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer
NINA SENN,38.356,6183.0,354.0,41.523,6537.0,1265.0,52.412,7802.0,
KARL DEBRO,32.978,5316.0,333.0,35.883,5649.0,1435.0,47.588,7084.0,
CHERI SPIGNER,8.127,1310.0,-1310.0,0.0,0.0,0.0,0.0,0.0,
SALEEM SHAKIR-GILMORE,20.54,3311.0,246.0,22.594,3557.0,-3557.0,0.0,0.0,
exhaust,0.0,0.0,377.0,0.0,377.0,857.0,0.0,1234.0,
colsum,100.001,16120.0,0.0,100.0,16120.0,0.0,100.0,16120.0,
