candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer
CATHERINE STEFANI,40.822,14415.0,594.0,43.772,15009.0,2331.0,51.915,17340.0,
SCHUYLER HUDAK,11.738,4145.0,793.0,14.401,4938.0,-4938.0,0.0,0.0,
JOHN DENNIS,8.802,3108.0,-3108.0,0.0,0.0,0.0,0.0,0.0,
NICK JOSEFOWITZ,38.638,13644.0,698.0,41.827,14342.0,1719.0,48.085,16061.0,
exhaust,0.0,79.0,1023.0,0.0,1102.0,888.0,0.0,1990.0,
colsum,100.0,35391.0,0.0,100.0,35391.0,0.0,100.0,35391.0,
