candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer,r4_percent,r4_count,r4_transfer,r5_percent,r5_count,r5_transfer,r6_percent,r6_count,r6_transfer,r7_percent,r7_count,r7_transfer,r8_percent,r8_count,r8_transfer,r9_percent,r9_count,r9_transfer,r10_percent,r10_count,r10_transfer,r11_percent,r11_count,r11_transfer,r12_percent,r12_count,r12_transfer,r13_percent,r13_count,r13_transfer,r14_percent,r14_count,r14_transfer
H. BROWN,0.863,182.0,0.0,0.864,182.0,5,0.889,187.0,11,0.943,198.0,7,0.978,205.0,-205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FORTUNATE ''NATE'' PAYNE,0.711,150.0,0.0,0.712,150.0,-150,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GEORGE VAZHAPPALLY,1.148,242.0,0.0,1.149,242.0,19,1.241,261.0,9,1.286,270.0,7,1.321,277.0,7,1.358,284.0,-284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MATT DRAKE,4.491,947.0,0.0,4.496,947.0,8,4.54,955.0,7,4.581,962.0,24,4.703,986.0,10,4.761,996.0,35,4.944,1031.0,46,5.202,1077.0,56,5.535,1133.0,67,5.938,1200.0,22,6.121,1222.0,25,6.392,1247.0,-1247,0.0,0.0,0.0,0.0,0.0,0.0
GEORGE DAVIS,0.749,158.0,0.0,0.75,158.0,2,0.761,160.0,-160,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
writeIns,0.138,29.0,-29,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
MATT ASHE,0.877,185.0,1,0.883,186.0,2,0.894,188.0,3,0.91,191.0,-191,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
THERESA SPARKS,17.097,3605.0,0,17.116,3605.0,6,17.168,3611.0,12,17.253,3623.0,19,17.37,3642.0,13,17.471,3655.0,16,17.605,3671.0,48,17.964,3719.0,62,18.473,3781.0,101,19.209,3882.0,107,19.982,3989.0,157,21.251,4146.0,188,23.051,4334.0,-4334,0.0,0.0,0.0
JAMES KEYS,4.553,960.0,0,4.558,960.0,6,4.593,966.0,8,4.638,974.0,6,4.674,980.0,15,4.756,995.0,7,4.805,1002.0,41,5.038,1043.0,59,5.384,1102.0,46,5.681,1148.0,70,6.101,1218.0,-1218,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
ELAINE ZAMORA,3.021,637.0,0,3.024,637.0,3,3.043,640.0,9,3.091,649.0,8,3.133,657.0,16,3.217,673.0,22,3.333,695.0,19,3.449,714.0,32,3.645,746.0,-746,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
JANE KIM,31.4,6621.0,2,31.445,6623.0,12,31.546,6635.0,11,31.649,6646.0,28,31.831,6674.0,23,32.012,6697.0,23,32.227,6720.0,80,32.847,6800.0,108,33.75,6908.0,131,34.831,7039.0,162,36.072,7201.0,305,38.473,7506.0,261,41.309,7767.0,1098,54.078,8865.0,3113
DEAN CLARK,2.855,602.0,0,2.858,602.0,10,2.91,612.0,11,2.967,623.0,6,3.0,629.0,33,3.164,662.0,35,3.343,697.0,16,3.444,713.0,-713,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
JIM MEKO,1.93,407.0,0,1.932,407.0,13,1.997,420.0,4,2.019,424.0,12,2.079,436.0,11,2.137,447.0,51,2.388,498.0,-498,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
GLENDON ''ANNA CONDA'' HYDE,3.282,692.0,1,3.29,693.0,16,3.371,709.0,14,3.443,723.0,17,3.529,740.0,8,3.576,748.0,9,3.63,757.0,22,3.763,779.0,25,3.928,804.0,35,4.152,839.0,-839,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
DEBRA WALKER,26.885,5669.0,1,26.921,5670.0,19,27.048,5689.0,27,27.22,5716.0,25,27.381,5741.0,22,27.548,5763.0,18,27.724,5781.0,76,28.292,5857.0,137,29.285,5994.0,107,30.19,6101.0,232,31.724,6333.0,278,33.885,6611.0,90,35.64,6701.0,827,45.922,7528.0,-7528
exhaust,0.0,0.0,24,0.0,24.0,29,0.0,53.0,34,0.0,87.0,32,0.0,119.0,47,0.0,166.0,68,0.0,234.0,150,0.0,384.0,234,0.0,618.0,259,0.0,877.0,246,0.0,1123.0,453,0.0,1576.0,708,0.0,2284.0,2409,0.0,4693.0,4415
colsum,100.00000000000001,21086.0,0.0,99.99800000000002,21086.0,0,100.00099999999999,21086.0,0,100.0,21086.0,0,99.999,21086.0,0,100.0,21086.0,0.0,99.999,21086.0,0.0,99.99900000000001,21086.0,0.0,100.0,21086.0,0.0,100.001,21086.0,0.0,100.00000000000001,21086.0,0.0,100.001,21086.0,0.0,100.0,21086.0,0.0,100.0,21086.0,0.0
