candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer
HUBER TRENADO,37.136,4941.0,584.0,42.664,5525.0,484.0,48.909,6009.0,
MIKE HUTCHINSON,15.949,2122.0,153.0,17.568,2275.0,-2275.0,0.0,0.0,
ROSIE TORRES,35.971,4786.0,364.0,39.768,5150.0,1127.0,51.091,6277.0,
MIKE HASSID,10.943,1456.0,-1456.0,0.0,0.0,0.0,0.0,0.0,
exhaust,0.0,90.0,355.0,0.0,445.0,664.0,0.0,1109.0,
colsum,99.999,13395.0,0.0,100.0,13395.0,0.0,100.0,13395.0,
