candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer
Amy Klobuchar,0.673,133.0,4.0,0.695,137.0,6.0,0.725,143.0,6.0,0.756,149.0,16.0,0.838,165.0,-165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Tom Steyer,0.329,65.0,1.0,0.335,66.0,-66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Elizabeth Warren,7.096,1402.0,4.0,7.128,1406.0,9.0,7.174,1415.0,9.0,7.223,1424.0,10.0,7.282,1434.0,55.0,7.563,1489.0,115.0,8.155,1604.0,-1604.0,0.0,0.0,
Undeclared,0.324,64.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Joseph R. Biden,49.911,9862.0,11.0,50.053,9873.0,19.0,50.155,9892.0,54.0,50.451,9946.0,22.0,50.617,9968.0,43.0,50.848,10011.0,136.0,51.589,10147.0,687.0,55.307,10834.0,
Tulsi Gabbard,0.628,124.0,4.0,0.649,128.0,2.0,0.659,130.0,1.0,0.665,131.0,-131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Bernie Sanders,39.293,7764.0,2.0,39.371,7766.0,14.0,39.446,7780.0,16.0,39.546,7796.0,50.0,39.842,7846.0,16.0,39.933,7862.0,56.0,40.256,7918.0,837.0,44.693,8755.0,
Pete Buttigieg,1.255,248.0,2.0,1.267,250.0,7.0,1.303,257.0,11.0,1.359,268.0,12.0,1.422,280.0,46.0,1.656,326.0,-326.0,0.0,0.0,0.0,0.0,0.0,
Michael R. Bloomberg,0.491,97.0,2.0,0.502,99.0,7.0,0.537,106.0,-106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
exhaust,0.0,35.0,34.0,0.0,69.0,2.0,0.0,71.0,9.0,0.0,80.0,21.0,0.0,101.0,5.0,0.0,106.0,19.0,0.0,125.0,80.0,0.0,205.0,
colsum,99.99999999999999,19794.0,0.0,99.99999999999999,19794.0,0.0,99.999,19794.0,0.0,99.99999999999999,19794.0,0.0,100.00099999999999,19794.0,0.0,100.0,19794.0,0.0,100.0,19794.0,0.0,100.0,19794.0,
