candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer
Carolyn Merrival,19.127,7651.0,8.0,19.169,7659.0,-7659.0,0.0,0.0,
Al Rose,30.792,12317.0,8.0,30.846,12325.0,4739.0,44.738,17064.0,
writeIns,0.162,65.0,-65.0,0.0,0.0,0.0,0.0,0.0,
Joyce McDonald,49.917,19967.0,5.0,49.985,19972.0,1106.0,55.262,21078.0,
exhaust,0.0,31.0,44.0,0.0,75.0,1814.0,0.0,1889.0,
colsum,99.99799999999999,40031.0,0.0,100.0,40031.0,0.0,100.0,40031.0,
