candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer
BENJAMIN LANG,25.574,5298.0,11.0,25.797,5309.0,-5309.0,0.0,0.0,
writeIns,0.854,177.0,-177.0,0.0,0.0,0.0,0.0,0.0,
RICHARD FUENTES,26.776,5547.0,14.0,27.021,5561.0,1925.0,38.967,7486.0,
JUMOKE HINTON HODGE,46.795,9694.0,16.0,47.182,9710.0,2015.0,61.033,11725.0,
exhaust,0.0,37.0,136.0,0.0,173.0,1369.0,0.0,1542.0,
colsum,99.999,20753.0,0.0,100.0,20753.0,0.0,100.0,20753.0,
