candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer,r4_percent,r4_count,r4_transfer,r5_percent,r5_count,r5_transfer,r6_percent,r6_count,r6_transfer,r7_percent,r7_count,r7_transfer,r8_percent,r8_count,r8_transfer,r9_percent,r9_count,r9_transfer
WILMA PANG,3.5,952.0,0.0,3.504,952.0,32,3.626,984.0,-984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAVID CHIU,37.76,10270.0,4,37.812,10274.0,33,37.976,10307.0,205,38.907,10512.0,288,40.223,10800.0,119,41.322,10919.0,227,42.838,11146.0,1202,49.086,12348.0,1234,59.375,13582.0,2198
CLAUDINE CHENG,9.247,2515.0,0,9.256,2515.0,5,9.285,2520.0,259,10.286,2779.0,107,10.749,2886.0,141,11.455,3027.0,196,12.387,3223.0,-3223,0.0,0.0,0,0.0,0.0,0
DENISE MCCARTHY,11.663,3172.0,2,11.682,3174.0,29,11.801,3203.0,138,12.366,3341.0,231,13.304,3572.0,143,14.059,3715.0,512,16.246,4227.0,406,18.417,4633.0,-4633,0.0,0.0,0
TONY GANTNER,4.394,1195.0,1,4.402,1196.0,9,4.44,1205.0,30,4.571,1235.0,-1235,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
MIKE DENUNZIO,4.908,1335.0,0,4.913,1335.0,21,4.996,1356.0,30,5.13,1386.0,80,5.46,1466.0,-1466,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
"JOSEPH ALIOTO, JR.",23.108,6285.0,0,23.131,6285.0,24,23.245,6309.0,91,23.688,6400.0,255,24.786,6655.0,458,26.919,7113.0,310,28.529,7423.0,752,32.497,8175.0,1118,40.625,9293.0,-9293
LYNN JEFFERSON,4.541,1235.0,1,4.549,1236.0,21,4.631,1257.0,108,5.052,1365.0,106,5.479,1471.0,179,6.244,1650.0,-1650,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
writeIns,0.129,35.0,-35,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
MARK QUESSEY,0.75,204.0,0,0.751,204.0,-204,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
exhaust,0.0,0.0,27,0.0,27.0,30,0.0,57.0,123,0.0,180.0,168,0.0,348.0,426,0.0,774.0,405,0.0,1179.0,863,0.0,2042.0,2281,0.0,4323.0,7095
colsum,100.00000000000001,27198.0,0.0,100.0,27198.0,0,100.0,27198.0,0,100.0,27198.0,0.0,100.00099999999999,27198.0,0.0,99.999,27198.0,0.0,100.0,27198.0,0.0,100.0,27198.0,0.0,100.0,27198.0,0.0
