candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer
Bob Kiss,38.955,3809.0,18.0,39.159,3827.0,30.0,39.498,3857.0,41.0,40.062,3898.0,863.0,54.436,4761.0,
Kevin Curley,26.682,2609.0,9.0,26.788,2618.0,19.0,27.005,2637.0,38.0,27.492,2675.0,-2675.0,0.0,0.0,
Hinda Miller,31.765,3106.0,16.0,31.945,3122.0,13.0,32.104,3135.0,22.0,32.446,3157.0,828.0,45.564,3985.0,
Louie the Cowman Beaudin,1.217,119.0,9.0,1.31,128.0,8.0,1.393,136.0,-136.0,0.0,0.0,0.0,0.0,0.0,
writeIns,0.798,78.0,0.0,0.798,78.0,-78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Loyal Ploof,0.583,57.0,-57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
exhaust,0.0,10.0,5.0,0.0,15.0,8.0,0.0,23.0,35.0,0.0,58.0,984.0,0.0,1042.0,
colsum,100.0,9788.0,0.0,100.0,9788.0,0.0,100.0,9788.0,0.0,100.0,9788.0,0.0,100.0,9788.0,
