candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer
MARGO SCHUELER,15.447,1216.0,131,17.274,1347.0,-1347,0.0,0.0,0.0
RASHI KESARWANI,44.461,3500.0,45,45.46,3545.0,575,54.505,4120.0,1709
IGOR A. TREGUB,35.709,2811.0,95,37.266,2906.0,533,45.495,3439.0,-3439
MARY BEHM-STEINBERG,4.383,345.0,-345,0.0,0.0,0,0.0,0.0,0
exhaust,0.0,0.0,74,0.0,74.0,239,0.0,313.0,1730
colsum,100.0,7872.0,0,100.0,7872.0,0,100.0,7872.0,0.0
