candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer
"DEM Golden, Jared F.",45.581,132013.0,1203,46.342,133216.0,9224,50.624,142440.0,37061
"Hoar, William R.S.",2.374,6875.0,-6875,0.0,0.0,0,0.0,0.0,0
"Bond, Tiffany L.",5.715,16552.0,2621,6.67,19173.0,-19173,0.0,0.0,0
"REP Poliquin, Bruce",46.33,134184.0,889,46.988,135073.0,3858,49.376,138931.0,-138931
exhaust,0.0,0.0,2162,0.0,2162.0,6091,0.0,8253.0,101870
colsum,100.0,289624.0,0,100.0,289624.0,0,100.0,289624.0,0
