candidate,r1_percent,r1_count,r1_transfer
RAFAEL MANDELMAN,91.434,38406.0,
LAWRENCE ''STARK'' DAGESSE,8.566,3598.0,
exhaust,0.0,0.0,
colsum,100.0,42004.0,
