candidate,r1_percent,r1_count,r1_transfer
writeIns,0.849,415.0,
CAROL J. BECKER,49.021,23949.0,
DOUGLAS SEMBLA,4.724,2308.0,
DAVID PASCOE,11.898,5813.0,
DAVID B WHEELER,33.507,16370.0,
exhaust,0.0,0.0,
colsum,99.999,48855.0,
