candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer
"Nolan, Patricia M.",23.632,3921.0,-1550.0,14.29,2371.0,0.0,14.29,2371.0,0.0,14.29,2371.0,0.0,14.29,2371.0,0.0,14.352,2371.0,0.0,14.564,2371.0,0.0,14.933,2371.0,0.0,14.933,2371.0,0.0,16.072,2371.0,
"Osborne, Mervan F.",7.461,1238.0,337.0,9.493,1575.0,76.0,9.951,1651.0,222.0,11.289,1873.0,45.0,11.56,1918.0,4.0,11.634,1922.0,160.0,12.789,2082.0,123.0,13.887,2205.0,41.0,14.145,2246.0,651.0,19.638,2897.0,
"Kelly, Kathleen M.",12.669,2102.0,252.0,14.188,2354.0,72.0,14.622,2426.0,97.0,15.206,2523.0,-152.0,14.29,2371.0,0.0,14.352,2371.0,0.0,14.564,2371.0,0.0,14.933,2371.0,0.0,14.933,2371.0,0.0,16.072,2371.0,
"Harding, Jr., Richard",14.218,2359.0,222.0,15.556,2581.0,292.0,17.316,2873.0,-502.0,14.29,2371.0,0.0,14.29,2371.0,0.0,14.352,2371.0,0.0,14.564,2371.0,0.0,14.933,2371.0,0.0,14.933,2371.0,0.0,16.072,2371.0,
"Kadete, Elechi M.",2.977,494.0,59.0,3.333,553.0,25.0,3.484,578.0,53.0,3.803,631.0,18.0,3.912,649.0,2.0,3.941,651.0,-651.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Fantini, Alfred B.",17.231,2859.0,180.0,18.316,3039.0,-668.0,14.29,2371.0,0.0,14.29,2371.0,0.0,14.29,2371.0,0.0,14.352,2371.0,0.0,14.564,2371.0,0.0,14.933,2371.0,0.0,14.933,2371.0,0.0,16.072,2371.0,
"Gerber, Joyce C.",6.786,1126.0,219.0,8.106,1345.0,63.0,8.486,1408.0,41.0,8.733,1449.0,28.0,8.902,1477.0,3.0,8.959,1480.0,83.0,9.601,1563.0,169.0,10.908,1732.0,45.0,11.192,1777.0,-1777.0,0.0,0.0,
writeIns,0.434,72.0,8.0,0.482,80.0,4.0,0.506,84.0,5.0,0.536,89.0,1.0,0.542,90.0,-90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Cronin, Fran Albin",11.041,1832.0,209.0,12.301,2041.0,58.0,12.651,2099.0,48.0,12.94,2147.0,53.0,13.259,2200.0,7.0,13.36,2207.0,104.0,14.195,2311.0,146.0,15.474,2457.0,-86.0,14.933,2371.0,0.0,16.072,2371.0,
"Holland, John J.",3.55,589.0,64.0,3.936,653.0,78.0,4.406,731.0,36.0,4.623,767.0,7.0,4.665,774.0,2.0,4.697,776.0,64.0,5.16,840.0,-840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
exhaust,0.0,24.0,0.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,24.0,72.0,0.0,96.0,240.0,0.0,336.0,402.0,0.0,738.0,0.0,0.0,738.0,1126.0,0.0,1864.0,
colsum,99.999,16616.0,0.0,100.001,16616.0,0.0,100.00200000000001,16616.0,0.0,100.0,16616.0,0.0,100.00000000000001,16616.0,0.0,99.99900000000001,16616.0,0.0,100.001,16616.0,0.0,100.001,16616.0,0.0,100.00199999999998,16616.0,0.0,99.998,16616.0,
