candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer,r4_percent,r4_count,r4_transfer
Geneva Hanvik,3.316,277.0,0.0,3.329,277.0,-277,0.0,0.0,0.0,0.0,0.0,0.0
writeIns,0.431,36.0,-36,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Steven Jecha,11.707,978.0,1,11.765,979.0,36,12.371,1015.0,-1015,0.0,0.0,0.0
Meg Forney,36.39,3040.0,0,36.534,3040.0,81,38.038,3121.0,385,44.914,3506.0,-3506
Brad Bourn,48.157,4023.0,2,48.372,4025.0,44,49.592,4069.0,231,55.086,4300.0,1023
exhaust,0.0,0.0,33,0.0,33.0,116,0.0,149.0,399,0.0,548.0,2483
colsum,100.001,8354.0,0.0,100.0,8354.0,0,100.001,8354.0,0.0,100.0,8354.0,0.0
