candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer,r4_percent,r4_count,r4_transfer,r5_percent,r5_count,r5_transfer,r6_percent,r6_count,r6_transfer,r7_percent,r7_count,r7_transfer,r8_percent,r8_count,r8_transfer,r9_percent,r9_count,r9_transfer
GEORGE FLAMIK,1.13,325.0,0.0,1.132,325.0,21,1.206,346.0,-346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIDEL CHRYS GAKUBA,1.262,363.0,0.0,1.264,363.0,17,1.325,380.0,37,1.456,417.0,-417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JASON JUNGREIS,2.135,614.0,0.0,2.138,614.0,17,2.2,631.0,24,2.287,655.0,36,2.418,691.0,-691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERIC MAR,40.51,11649.0,3,40.571,11652.0,33,40.731,11685.0,29,40.905,11714.0,56,41.188,11770.0,114,41.802,11884.0,80,42.531,11964.0,192,44.596,12156.0,996,50.668,13152.0,4070
ALICIA WANG,14.668,4218.0,0,14.687,4218.0,30,14.808,4248.0,33,14.949,4281.0,60,15.191,4341.0,73,15.526,4414.0,96,16.033,4510.0,196,17.265,4706.0,-4706,0.0,0.0,0
BRIAN J. LARKIN,3.471,998.0,2,3.482,1000.0,24,3.569,1024.0,93,3.901,1117.0,49,4.08,1166.0,130,4.559,1296.0,153,5.151,1449.0,-1449,0.0,0.0,0,0.0,0.0,0
SUE LEE,33.916,9753.0,1,33.962,9754.0,23,34.08,9777.0,38,34.274,9815.0,91,34.665,9906.0,156,35.393,10062.0,145,36.285,10207.0,189,38.139,10396.0,2409,49.332,12805.0,-12805
writeIns,0.146,42.0,-42,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
SHERMAN R. D''SILVA,0.894,257.0,0,0.895,257.0,-257,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
NICHOLAS C. BELLONI,1.867,537.0,0,1.87,537.0,60,2.081,597.0,41,2.228,638.0,64,2.457,702.0,71,2.719,773.0,-773,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
exhaust,0.0,0.0,36,0.0,36.0,32,0.0,68.0,51,0.0,119.0,61,0.0,180.0,147,0.0,327.0,299,0.0,626.0,872,0.0,1498.0,1301,0.0,2799.0,8735
colsum,99.99900000000001,28756.0,0.0,100.00099999999999,28756.0,0,100.00000000000001,28756.0,0,100.0,28756.0,0.0,99.999,28756.0,0.0,99.999,28756.0,0.0,100.0,28756.0,0.0,100.0,28756.0,0.0,100.0,28756.0,0.0
