candidate,r1_percent,r1_count,r1_transfer
DEBORAH MATTHEWS,20.82,1482.0,
BEN BARTLETT,57.038,4060.0,
AL G. MURRAY,1.869,133.0,
MARK A. COPLAN,20.273,1443.0,
exhaust,0.0,0.0,
colsum,100.0,7118.0,
