candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer
JACQUELYN MCCORMICK,18.526,837.0,-837,0.0,0.0,0.0,0.0,0.0,0.0
GEORGE BEIER,26.516,1198.0,275,33.576,1473.0,583,49.806,2056.0,-2056
MIKE ALVAREZ COHEN,25.786,1165.0,135,29.633,1300.0,-1300,0.0,0.0,0
LORI DROSTE,29.172,1318.0,296,36.791,1614.0,458,50.194,2072.0,1117
exhaust,0.0,0.0,131,0.0,131.0,259,0.0,390.0,939
colsum,100.0,4518.0,0,100.0,4518.0,0.0,100.0,4518.0,0.0
