candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer
Charles Exner,14.142,2069.0,4,14.211,2073.0,-2073,0.0,0.0,0.0
Abdi Gurhan Mohamed,37.013,5415.0,2,37.136,5417.0,424,42.967,5841.0,-5841
writeIns,0.355,52.0,-52,0.0,0.0,0,0.0,0.0,0
AK Hassan,48.489,7094.0,3,48.653,7097.0,656,57.033,7753.0,2496
exhaust,0.0,0.0,43,0.0,43.0,993,0.0,1036.0,3345
colsum,99.999,14630.0,0,100.0,14630.0,0,100.0,14630.0,0.0
