candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer,r4_percent,r4_count,r4_transfer,r5_percent,r5_count,r5_transfer,r6_percent,r6_count,r6_transfer,r7_percent,r7_count,r7_transfer,r8_percent,r8_count,r8_transfer,r9_percent,r9_count,r9_transfer
DAVID LEE,10.738,3402.0,12,10.787,3414.0,82,11.078,3496.0,70,11.328,3566.0,77,11.611,3643.0,242,12.43,3885.0,121,12.985,4006.0,160,13.921,4166.0,-4166,0.0,0.0,0.0
SHERMAN R. D'SILVA,1.761,558.0,9,1.792,567.0,-567,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
RICHIE GREENBERG,3.093,980.0,10,3.128,990.0,58,3.321,1048.0,181,3.904,1229.0,61,4.111,1290.0,130,4.543,1420.0,142,5.063,1562.0,-1562,0.0,0.0,0,0.0,0.0,0.0
SANDRA LEE FEWER,39.67,12568.0,139,40.151,12707.0,88,40.544,12795.0,68,40.861,12863.0,221,41.701,13084.0,68,42.081,13152.0,164,43.161,13316.0,163,45.04,13479.0,1558,52.769,15037.0,5937
BRIAN J. LARKIN,2.358,747.0,26,2.442,773.0,62,2.646,835.0,70,2.875,905.0,71,3.111,976.0,56,3.302,1032.0,-1032,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
ANDY THORNLEY,1.136,360.0,-360,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
SAMUEL KWONG,2.348,744.0,4,2.363,748.0,17,2.424,765.0,27,2.516,792.0,32,2.626,824.0,-824,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
JONATHAN LYENS,1.929,611.0,43,2.066,654.0,28,2.161,682.0,52,2.332,734.0,-734,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
MARJAN PHILHOUR,35.034,11099.0,68,35.285,11167.0,113,35.744,11280.0,111,36.185,11391.0,168,36.84,11559.0,206,37.643,11765.0,203,38.792,11968.0,314,41.04,12282.0,1177,47.231,13459.0,-13459
JASON JUNGREIS,1.932,612.0,16,1.984,628.0,29,2.082,657.0,-657,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
exhaust,0.0,0.0,33,0.0,33.0,90,0.0,123.0,78,0.0,201.0,104,0.0,305.0,122,0.0,427.0,402,0.0,829.0,925,0.0,1754.0,1431,0.0,3185.0,7522
colsum,99.99900000000001,31681.0,0,99.998,31681.0,0,100.0,31681.0,0,100.001,31681.0,0,100.0,31681.0,0,99.999,31681.0,0,100.001,31681.0,0,100.001,31681.0,0,100.0,31681.0,0.0
