candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer
John Edwards,2.208,1539.0,34.16502294292299,2.589,1573.1650229429229,
writeIns,0.976,680.0,118.02462471191578,1.313,798.0246247119157,
Carol Becker,69.106,48163.0,-24931.666666666664,38.226,23231.333333333332,
David B. Wheeler,27.71,19312.0,15859.817771595068,57.873,35171.817771595066,
exhaust,0.0,0.0,8919.659247416757,0.0,8919.659247416757,
colsum,100.0,69694.0,0.0,100.001,69694.0,
