candidate,r1_active_percent,r1_count,r1_transfer
Jono Cowgill,50.278,6794.0,
writeIns,0.77,104.0,
Tom Nordyke,48.953,6615.0,
exhaust,0.0,2.0,
colsum,100.001,13515.0,
