candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer,r11_active_percent,r11_count,r11_transfer,r12_active_percent,r12_count,r12_transfer,r13_active_percent,r13_count,r13_transfer,r14_active_percent,r14_count,r14_transfer,r15_active_percent,r15_count,r15_transfer,r16_active_percent,r16_count,r16_transfer,r17_active_percent,r17_count,r17_transfer,r18_active_percent,r18_count,r18_transfer,r19_active_percent,r19_count,r19_transfer,r20_active_percent,r20_count,r20_transfer
"Carlone, Dennis J.",6.964,1479.0,10.0,7.011,1489.0,0.0,7.013,1489.0,0.0,7.016,1489.0,0.0,7.017,1489.0,13.0,7.081,1502.0,26.0,7.209,1528.0,18.0,7.3,1546.0,0.0,7.3,1546.0,28.0,7.438,1574.0,12.0,7.507,1586.0,63.0,7.814,1649.0,78.0,8.202,1727.0,57.0,8.503,1784.0,45.0,8.717,1829.0,39.0,8.94,1868.0,51.0,9.255,1919.0,28.0,9.39,1947.0,21.0,9.492,1968.0,952.0,14.545,2920.0,
"Mallon, Alanna M.",5.914,1256.0,74.0,6.262,1330.0,0.0,6.264,1330.0,1.0,6.271,1331.0,3.0,6.287,1334.0,4.0,6.308,1338.0,25.0,6.43,1363.0,11.0,6.488,1374.0,4.0,6.507,1378.0,19.0,6.602,1397.0,60.0,6.896,1457.0,20.0,6.999,1477.0,25.0,7.133,1502.0,46.0,7.378,1548.0,11.0,7.431,1559.0,220.0,8.514,1779.0,382.0,10.422,2161.0,-37.0,10.244,2124.0,0.0,10.244,2124.0,0.0,10.58,2124.0,
"Williams, Nicola A.",2.971,631.0,7.0,3.004,638.0,0.0,3.005,638.0,0.0,3.006,638.0,1.0,3.011,639.0,6.0,3.041,645.0,11.0,3.095,656.0,26.0,3.22,682.0,1.0,3.225,683.0,25.0,3.346,708.0,54.0,3.607,762.0,32.0,3.762,794.0,81.0,4.155,875.0,-875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Zondervan, Quinton Y.",6.507,1382.0,31.0,6.653,1413.0,0.0,6.655,1413.0,1.0,6.662,1414.0,7.0,6.697,1421.0,16.0,6.775,1437.0,20.0,6.874,1457.0,39.0,7.064,1496.0,1.0,7.069,1497.0,44.0,7.282,1541.0,21.0,7.393,1562.0,48.0,7.629,1610.0,111.0,8.173,1721.0,218.0,9.242,1939.0,34.0,9.404,1973.0,67.0,9.763,2040.0,113.0,10.384,2153.0,-29.0,10.244,2124.0,0.0,10.244,2124.0,0.0,10.58,2124.0,
"Nolan, Patricia M.",7.934,1685.0,15.0,8.004,1700.0,2.0,8.016,1702.0,6.0,8.047,1708.0,4.0,8.068,1712.0,5.0,8.095,1717.0,30.0,8.242,1747.0,18.0,8.334,1765.0,0.0,8.334,1765.0,35.0,8.506,1800.0,24.0,8.634,1824.0,118.0,9.202,1942.0,123.0,9.807,2065.0,224.0,10.91,2289.0,-165.0,10.123,2124.0,0.0,10.165,2124.0,0.0,10.244,2124.0,0.0,10.244,2124.0,0.0,10.244,2124.0,0.0,10.58,2124.0,
"Toomey, Jr., Timothy J.",8.141,1729.0,15.0,8.211,1744.0,2.0,8.223,1746.0,7.0,8.26,1753.0,5.0,8.285,1758.0,6.0,8.316,1764.0,4.0,8.341,1768.0,16.0,8.424,1784.0,3.0,8.438,1787.0,12.0,8.501,1799.0,14.0,8.581,1813.0,12.0,8.648,1825.0,32.0,8.819,1857.0,23.0,8.96,1880.0,2.0,8.97,1882.0,32.0,9.16,1914.0,43.0,9.439,1957.0,36.0,9.612,1993.0,12.0,9.67,2005.0,282.0,11.392,2287.0,
"Moree, Gregg J.",0.221,47.0,0.0,0.221,47.0,1.0,0.226,48.0,-48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"McGovern, Marc C.",7.632,1621.0,32.0,7.783,1653.0,2.0,7.794,1655.0,1.0,7.802,1656.0,7.0,7.837,1663.0,2.0,7.85,1665.0,18.0,7.94,1683.0,10.0,7.994,1693.0,5.0,8.018,1698.0,24.0,8.138,1722.0,19.0,8.241,1741.0,15.0,8.321,1756.0,32.0,8.491,1788.0,36.0,8.694,1824.0,12.0,8.751,1836.0,152.0,9.514,1988.0,212.0,10.611,2200.0,-76.0,10.244,2124.0,0.0,10.244,2124.0,0.0,10.58,2124.0,
writeIns,0.08,17.0,0.0,0.08,17.0,-17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Franklin, Charles J.",1.521,323.0,6.0,1.549,329.0,1.0,1.554,330.0,2.0,1.564,332.0,5.0,1.588,337.0,7.0,1.622,344.0,5.0,1.646,349.0,21.0,1.747,370.0,0.0,1.747,370.0,-370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
