candidate,r1_percent,r1_count,r1_transfer
KATE HARRISON,52.841,2892.0,186
GREGORY MAGOFNA,12.187,667.0,-667
BEN GOULD,34.972,1914.0,419
exhaust,0.0,0.0,62
colsum,100.0,5473.0,0
