candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer,r4_percent,r4_count,r4_transfer,r5_percent,r5_count,r5_transfer,r6_percent,r6_count,r6_transfer,r7_percent,r7_count,r7_transfer
"Sweet, Elizabeth A.",16.464,20767.0,54,16.567,20821.0,183,16.757,21004.0,1098,17.668,22102.0,885,18.524,22987.0,6957,24.442,29944.0,-29944,0.0,0.0,0.0
"Russell, Diane Marie",2.163,2728.0,11,2.179,2739.0,128,2.287,2867.0,-2867,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
"Dion, Mark N.",4.122,5200.0,29,4.161,5229.0,244,4.366,5473.0,336,4.644,5809.0,-5809,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
"Mills, Janet T.",33.087,41735.0,70,33.265,41805.0,295,33.587,42100.0,469,34.029,42569.0,1473,35.491,44042.0,5903,40.767,49945.0,13442,54.06,63387.0,36555
"Dion, Donna J.",1.265,1596.0,19,1.285,1615.0,-1615,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
"Cote, Adam Roland",28.126,35478.0,69,28.285,35547.0,302,28.6,35849.0,333,28.923,36182.0,1361,30.254,37543.0,5080,34.791,42623.0,11243,45.94,53866.0,-53866
"Eves, Mark W.",14.18,17887.0,31,14.258,17918.0,134,14.402,18052.0,384,14.737,18436.0,1085,15.731,19521.0,-19521,0.0,0.0,0,0.0,0.0,0
writeIns,0.593,748.0,-748,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
exhaust,0.0,0.0,465,0.0,465.0,329,0.0,794.0,247,0.0,1041.0,1005,0.0,2046.0,1581,0.0,3627.0,5259,0.0,8886.0,17311
colsum,100.00000000000001,126139.0,0,99.99999999999999,126139.0,0,99.99900000000001,126139.0,0,100.00099999999999,126139.0,0,100.0,126139.0,0,100.0,126139.0,0,100.0,126139.0,0.0
