candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer
Nancy Bernard,5.522,2024.0,4.0,5.558,2028.0,97.0,5.896,2125.0,-2125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
John Butler,3.039,1114.0,0.0,3.053,1114.0,-1114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Annie Young,18.936,6941.0,7.0,19.042,6948.0,114.0,19.595,7062.0,428.0,21.232,7490.0,251.0,23.105,7741.0,630.0,25.962,8371.0,27.78593632758066,26.126,8398.78593632758,2009.0856469074927,35.799,10407.871583235072,
Mary Merrill Anderson,14.716,5394.0,3.0,14.791,5397.0,73.0,15.178,5470.0,443.0,16.762,5913.0,183.0,18.195,6096.0,714.0,21.121,6810.0,25.64583556651302,21.264,6835.645835566513,-6835.645835566513,0.0,0.0,
John Erwin,17.395,6376.0,4.0,17.485,6380.0,134.0,18.075,6514.0,121.0,18.808,6635.0,206.0,20.418,6841.0,892.0,23.984,7733.0,15.528995605102368,24.103,7748.528995605102,1752.723764604995,32.681,9501.252760210096,
Tom Nordyke,10.138,3716.0,2.0,10.19,3718.0,69.0,10.508,3787.0,98.0,11.013,3885.0,233.0,12.291,4118.0,-4118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
writeIns,0.529,194.0,-194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Bob Fine,22.068,8089.0,5.0,22.183,8094.0,99.0,22.734,8193.0,170.0,23.707,8363.0,345.0,25.991,8708.0,621.0,28.933,9329.0,-165.0,28.507,9164.0,0.0,31.521,9164.0,
David Wahstedt,7.658,2807.0,2.0,7.698,2809.0,79.0,8.014,2888.0,103.0,8.479,2991.0,-2991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
exhaust,0.0,0.0,167.0,0.0,167.0,449.0,0.0,616.0,762.0,0.0,1378.0,1773.0,0.0,3151.0,1261.0,0.0,4412.0,96.03923250080393,0.0,4508.039232500804,3073.836424054025,0.0,7581.875656554829,
colsum,100.001,36655.0,0.0,100.0,36655.0,0.0,99.99999999999999,36655.0,0.0,100.00099999999999,36655.0,0.0,100.0,36655.0,0.0,100.0,36655.0,-1.4210854715202004e-14,100.0,36655.0,0.0,100.00099999999999,36655.0,
