candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer,r4_percent,r4_count,r4_transfer
BENJAMIN LANG,19.646,4391.0,2,19.676,4393.0,584,22.732,4977.0,-4977,0.0,0.0,0.0
KHARYSHI ''MS. K'' WIGINTON,33.108,7400.0,7,33.175,7407.0,282,35.119,7689.0,2121,47.607,9810.0,-9810
MISTY CROSS,0.174,39.0,-39,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
LUCKY NARAIN,7.23,1616.0,0,7.238,1616.0,-1616,0.0,0.0,0,0.0,0.0,0
JUMOKE HINTON HODGE,39.842,8905.0,6,39.911,8911.0,317,42.149,9228.0,1568,52.393,10796.0,4701
exhaust,0.0,0.0,24,0.0,24.0,433,0.0,457.0,1288,0.0,1745.0,5109
colsum,100.0,22351.0,0,100.0,22351.0,0,100.0,22351.0,0,100.0,22351.0,0.0
