candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer
JOHN DENNIS,8.802,3108.0,-3108,0.0,0.0,0.0,0.0,0.0,0.0
CATHERINE STEFANI,40.822,14415.0,594,43.772,15009.0,2331,51.915,17340.0,9090
SCHUYLER HUDAK,11.738,4145.0,793,14.401,4938.0,-4938,0.0,0.0,0
NICK JOSEFOWITZ,38.638,13644.0,698,41.827,14342.0,1719,48.085,16061.0,-16061
exhaust,0.0,0.0,1023,0.0,1023.0,888,0.0,1911.0,6971
colsum,100.0,35312.0,0,100.0,35312.0,0.0,100.0,35312.0,0.0
