candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer
"Grassi, Joseph G.",12.864,1990.0,7.0,12.909,1997.0,51.0,13.239,2048.0,1.0,13.28,2049.0,103.0,14.167,2152.0,44.0,14.457,2196.0,25.0,14.621,2221.0,-10.0,14.556,2211.0,
"Nolan, Patricia M.",15.43,2387.0,-176.0,14.292,2211.0,0.0,14.292,2211.0,0.0,14.33,2211.0,0.0,14.556,2211.0,0.0,14.556,2211.0,0.0,14.556,2211.0,0.0,14.556,2211.0,
"Harding, Richard, Jr.",12.805,1981.0,17.0,12.915,1998.0,10.0,12.98,2008.0,6.0,13.053,2014.0,218.0,14.694,2232.0,34.0,14.918,2266.0,-55.0,14.556,2211.0,0.0,14.556,2211.0,
"Walser, Nancy",12.954,2004.0,39.0,13.206,2043.0,6.0,13.245,2049.0,6.0,13.319,2055.0,364.0,15.925,2419.0,-208.0,14.556,2211.0,0.0,14.556,2211.0,0.0,14.556,2211.0,
"McGovern, Marc C.",9.134,1413.0,29.0,9.321,1442.0,6.0,9.36,1448.0,2.0,9.398,1450.0,-1450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Schuster, Luc",11.913,1843.0,56.0,12.275,1899.0,3.0,12.295,1902.0,1.0,12.334,1903.0,248.0,14.161,2151.0,50.0,14.49,2201.0,9.0,14.549,2210.0,5.0,14.582,2215.0,
writeIns,0.368,57.0,0.0,0.368,57.0,0.0,0.368,57.0,-57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Fantini, Alfred B.",14.745,2281.0,11.0,14.816,2292.0,-81.0,14.292,2211.0,0.0,14.33,2211.0,0.0,14.556,2211.0,0.0,14.556,2211.0,0.0,14.556,2211.0,0.0,14.556,2211.0,
"Lummis, Ben",9.787,1514.0,17.0,9.897,1531.0,5.0,9.929,1536.0,0.0,9.955,1536.0,278.0,11.942,1814.0,80.0,12.469,1894.0,21.0,12.607,1915.0,5.0,12.64,1920.0,
exhaust,0.0,43.0,0.0,0.0,43.0,0.0,0.0,43.0,41.0,0.0,84.0,239.0,0.0,323.0,0.0,0.0,323.0,0.0,0.0,323.0,0.0,0.0,323.0,
colsum,100.00000000000001,15513.0,0.0,99.99900000000001,15513.0,0.0,99.99999999999999,15513.0,0.0,99.999,15513.0,0.0,100.001,15513.0,0.0,100.00199999999998,15513.0,0.0,100.00099999999999,15513.0,0.0,100.002,15513.0,
