candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer
G. TYCE FLAKE,36.689,390.0,0.0,36.689,390.0,20.0,38.752,410.0,28.0,41.675,438.0,57.0,48.199,495.0,159.0,65.269,654.0,
CRISTY WELSH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
HECTOR RAFAEL HERNANDEZ,10.63,113.0,0.0,10.63,113.0,8.0,11.437,121.0,-121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
KEITH KUDER,11.383,121.0,0.0,11.383,121.0,3.0,11.72,124.0,29.0,14.558,153.0,-153.0,0.0,0.0,0.0,0.0,0.0,
ANTHONY JENKINS,15.334,163.0,0.0,15.334,163.0,22.0,17.486,185.0,27.0,20.171,212.0,33.0,23.856,245.0,-245.0,0.0,0.0,
DAVID LAURET,19.944,212.0,0.0,19.944,212.0,6.0,20.605,218.0,30.0,23.597,248.0,39.0,27.945,287.0,61.0,34.731,348.0,
TAY GUDMUNDSON,6.021,64.0,0.0,6.021,64.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
exhaust,0.0,26.0,0.0,0.0,26.0,5.0,0.0,31.0,7.0,0.0,38.0,24.0,0.0,62.0,25.0,0.0,87.0,
colsum,100.001,1089.0,0.0,100.001,1089.0,0.0,100.0,1089.0,0.0,100.001,1089.0,0.0,100.0,1089.0,0.0,100.0,1089.0,
