candidate,r1_percent,r1_count,r1_transfer
SHERYL WALTON,31.424,4734.0,8
BEVERLY WILLIAMS,9.95,1499.0,8
writeIns,0.71,107.0,-107
LARRY E. REID,57.916,8725.0,8
exhaust,0.0,0.0,83
colsum,100.0,15065.0,0
