candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer,r4_percent,r4_count,r4_transfer,r5_percent,r5_count,r5_transfer,r6_percent,r6_count,r6_transfer
ANTHONY B. ''TONY'' SANTOS,35.501,7982.0,0.0,35.506,7982.0,5.0,35.609,7987.0,63.0,36.032,8050.0,238.0,37.492,8288.0,1757.0,49.429,10045.0,
STEPHEN H. CASSIDY,35.172,7908.0,2.0,35.185,7910.0,3.0,35.279,7913.0,84.0,35.795,7997.0,303.0,37.546,8300.0,1977.0,50.571,10277.0,
SARA M. MESTAS,4.114,925.0,0.0,4.115,925.0,1.0,4.128,926.0,109.0,4.633,1035.0,-1035.0,0.0,0.0,0.0,0.0,0.0,
JOYCE RUTLEDGE STAROSCIAK,23.154,5206.0,0.0,23.157,5206.0,2.0,23.219,5208.0,51.0,23.54,5259.0,259.0,24.962,5518.0,-5518.0,0.0,0.0,
writeIns,0.285,64.0,0.0,0.285,64.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
LOU FILIPOVICH,0.04,9.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
JOHN R. PALAU,1.735,390.0,4.0,1.753,394.0,2.0,1.765,396.0,-396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
exhaust,0.0,0.0,3.0,0.0,3.0,51.0,0.0,54.0,89.0,0.0,143.0,235.0,0.0,378.0,1784.0,0.0,2162.0,
colsum,100.001,22484.0,0.0,100.00099999999999,22484.0,0.0,100.00000000000001,22484.0,0.0,100.0,22484.0,0.0,100.0,22484.0,0.0,100.0,22484.0,
