candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer
"DAVID L. ANDERSON, SR.",13.26,2048.0,-2048.0,0.0,0.0,0.0,0.0,0.0,
MIKE KATZ-LACABE,22.532,3480.0,340.0,25.902,3820.0,979.0,35.037,4799.0,
KENNETH PON,21.787,3365.0,419.0,25.658,3784.0,-3784.0,0.0,0.0,
DEBORAH COX,42.421,6552.0,592.0,48.44,7144.0,1754.0,64.963,8898.0,
exhaust,0.0,0.0,697.0,0.0,697.0,1051.0,0.0,1748.0,
colsum,100.0,15445.0,0.0,100.0,15445.0,0.0,100.0,15445.0,
