candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer
Michael R.,1.797,262.0,0.0,1.797,262.0,4.0,1.824,266.0,1.0,1.831,267.0,3.0,1.863,270.0,8.0,1.92,278.0,8.0,1.98,286.0,-286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Elizabeth Warren,5.061,738.0,0.0,5.061,738.0,2.0,5.075,740.0,6.0,5.117,746.0,1.0,5.153,747.0,22.0,5.31,769.0,44.0,5.629,813.0,19.0,5.787,832.0,21.0,6.021,853.0,-853.0,0.0,0.0,
Pete Buttigieg,1.049,153.0,0.0,1.049,153.0,0.0,1.049,153.0,6.0,1.091,159.0,0.0,1.097,159.0,-159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Joseph R. Biden,58.87,8585.0,1.0,58.881,8586.0,2.0,58.899,8588.0,13.0,58.996,8601.0,11.0,59.409,8612.0,74.0,59.982,8686.0,43.0,60.433,8729.0,156.0,61.804,8885.0,106.0,63.469,8991.0,324.0,66.389,9315.0,
Amy Klobuchar,0.233,34.0,0.0,0.233,34.0,0.0,0.233,34.0,-34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Deval Patrick,0.027,4.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Bernie Sanders,27.799,4054.0,1.0,27.808,4055.0,2.0,27.824,4057.0,4.0,27.855,4061.0,5.0,28.049,4066.0,20.0,28.216,4086.0,55.0,28.669,4141.0,33.0,29.035,4174.0,148.0,30.51,4322.0,394.0,33.611,4716.0,
Tom Steyer,0.103,15.0,0.0,0.103,15.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Uncommitted,0.727,106.0,0.0,0.727,106.0,0.0,0.727,106.0,0.0,0.727,106.0,-106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Tulsi Gabbard,3.058,446.0,0.0,3.059,446.0,0.0,3.059,446.0,1.0,3.066,447.0,2.0,3.097,449.0,7.0,3.149,456.0,19.0,3.289,475.0,10.0,3.374,485.0,-485.0,0.0,0.0,0.0,0.0,0.0,
Andrew Yang,1.275,186.0,1.0,1.282,187.0,4.0,1.31,191.0,1.0,1.317,192.0,1.0,1.331,193.0,13.0,1.423,206.0,-206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
exhaust,0.0,36.0,1.0,0.0,37.0,1.0,0.0,38.0,2.0,0.0,40.0,83.0,0.0,123.0,15.0,0.0,138.0,37.0,0.0,175.0,68.0,0.0,243.0,210.0,0.0,453.0,135.0,0.0,588.0,
colsum,99.99900000000002,14619.0,0.0,100.0,14619.0,0.0,100.00000000000001,14619.0,0.0,100.0,14619.0,0.0,99.999,14619.0,0.0,100.0,14619.0,0.0,100.0,14619.0,0.0,100.0,14619.0,0.0,100.0,14619.0,0.0,100.0,14619.0,
