candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer
"Crafts, Dale John",45.024,23665.0,4354.0,57.994,28019.0,
"Brakey, Eric L.",22.785,11976.0,-11976.0,0.0,0.0,
"Bennett, Adrienne",32.191,16920.0,3375.0,42.006,20295.0,
exhaust,0.0,427.0,4247.0,0.0,4674.0,
colsum,100.0,52988.0,0.0,100.0,52988.0,
