candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer,r4_percent,r4_count,r4_transfer,r5_percent,r5_count,r5_transfer
BOB REUER,7.161,749.0,1,7.174,750.0,121,8.357,871.0,-871,0.0,0.0,0.0,0.0,0.0,0.0
LINEA PALMISANO,42.566,4452.0,3,42.611,4455.0,18,42.915,4473.0,103,46.106,4576.0,483,51.813,5059.0,3084
MISSY DURANT,9.427,986.0,1,9.44,987.0,7,9.537,994.0,50,10.519,1044.0,-1044,0.0,0.0,0
DAVID REGAN,1.903,199.0,1,1.913,200.0,-200,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
writeIns,0.096,10.0,-10,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
MATT PERRY,38.847,4063.0,0,38.862,4063.0,22,39.192,4085.0,220,43.375,4305.0,400,48.187,4705.0,-4705
exhaust,0.0,0.0,4,0.0,4.0,32,0.0,36.0,498,0.0,534.0,161,0.0,695.0,1621
colsum,100.0,10459.0,0,100.0,10459.0,0,100.001,10459.0,0,100.0,10459.0,0.0,100.0,10459.0,0.0
