candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer
Larry Edwards,9.273,464.0,28.054506206152183,9.888,492.05450620615215,
Sarah A. Lucido,37.03,1853.0,-185.0,33.52,1668.0,
Harvey Curley,32.174,1610.0,62.19913653534808,33.604,1672.1991365353479,
writeIns,0.38,19.0,0.4991905018888289,0.392,19.499190501888826,
Mary Hall-Rayford,21.143,1058.0,66.39233675121424,22.596,1124.392336751214,
exhaust,0.0,0.0,27.854830005396654,0.0,27.854830005396654,
colsum,100.0,5004.0,3.552713678800501e-15,100.0,5003.999999999999,
