candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer,r11_active_percent,r11_count,r11_transfer,r12_active_percent,r12_count,r12_transfer,r13_active_percent,r13_count,r13_transfer,r14_active_percent,r14_count,r14_transfer,r15_active_percent,r15_count,r15_transfer,r16_active_percent,r16_count,r16_transfer,r17_active_percent,r17_count,r17_transfer,r18_active_percent,r18_count,r18_transfer,r19_active_percent,r19_count,r19_transfer,r20_active_percent,r20_count,r20_transfer,r21_active_percent,r21_count,r21_transfer,r22_active_percent,r22_count,r22_transfer,r23_active_percent,r23_count,r23_transfer,r24_active_percent,r24_count,r24_transfer,r25_active_percent,r25_count,r25_transfer,r26_active_percent,r26_count,r26_transfer
"Mallon, Alanna M.",5.9,1329.0,11.0,5.949,1340.0,25.0,6.06,1365.0,0.0,6.062,1365.0,2.0,6.072,1367.0,2.0,6.084,1369.0,5.0,6.107,1374.0,4.0,6.128,1378.0,7.0,6.166,1385.0,25.0,6.281,1410.0,10.0,6.349,1420.0,18.0,6.436,1438.0,38.0,6.616,1476.0,29.0,6.778,1505.0,124.0,7.345,1629.0,64.0,7.676,1693.0,120.0,8.29,1813.0,21.0,8.386,1834.0,303.0,9.836,2137.0,159.0,10.649,2296.0,17.0,10.728,2313.0,21.0,10.826,2334.0,-81.0,10.45,2253.0,0.0,10.788,2253.0,0.0,10.788,2253.0,0.0,11.264,2253.0,
"Benjamin, Ronald",1.074,242.0,11.0,1.123,253.0,1.0,1.128,254.0,0.0,1.128,254.0,1.0,1.133,255.0,2.0,1.142,257.0,2.0,1.151,259.0,2.0,1.161,261.0,3.0,1.175,264.0,5.0,1.198,269.0,-269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Devereux, Jan",7.543,1699.0,37.0,7.707,1736.0,31.0,7.845,1767.0,0.0,7.847,1767.0,2.0,7.858,1769.0,0.0,7.861,1769.0,3.0,7.877,1772.0,7.0,7.911,1779.0,8.0,7.956,1787.0,38.0,8.13,1825.0,14.0,8.223,1839.0,18.0,8.311,1857.0,26.0,8.44,1883.0,39.0,8.656,1922.0,33.0,8.815,1955.0,82.0,9.236,2037.0,62.0,9.597,2099.0,6.0,9.625,2105.0,96.0,10.131,2201.0,194.0,11.109,2395.0,-142.0,10.45,2253.0,0.0,10.45,2253.0,0.0,10.45,2253.0,0.0,10.788,2253.0,0.0,10.788,2253.0,0.0,11.264,2253.0,
"Burgin, Josh M.",1.74,392.0,1.0,1.745,393.0,1.0,1.749,394.0,1.0,1.754,395.0,1.0,1.759,396.0,5.0,1.782,401.0,0.0,1.782,401.0,3.0,1.797,404.0,2.0,1.807,406.0,7.0,1.84,413.0,16.0,1.918,429.0,3.0,1.933,432.0,8.0,1.972,440.0,-440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Carlone, Dennis J.",5.221,1176.0,11.0,5.27,1187.0,17.0,5.345,1204.0,1.0,5.352,1205.0,2.0,5.362,1207.0,1.0,5.368,1208.0,0.0,5.37,1208.0,7.0,5.403,1215.0,7.0,5.44,1222.0,19.0,5.529,1241.0,11.0,5.598,1252.0,16.0,5.675,1268.0,15.0,5.751,1283.0,23.0,5.882,1306.0,18.0,5.97,1324.0,41.0,6.189,1365.0,44.0,6.442,1409.0,11.0,6.493,1420.0,59.0,6.808,1479.0,119.0,7.412,1598.0,48.0,7.635,1646.0,108.0,8.135,1754.0,22.0,8.237,1776.0,149.0,9.217,1925.0,17.0,9.299,1942.0,233.0,10.874,2175.0,
"Tierney, Sean",3.459,779.0,9.0,3.498,788.0,6.0,3.525,794.0,1.0,3.531,795.0,2.0,3.54,797.0,2.0,3.551,799.0,1.0,3.556,800.0,3.0,3.571,803.0,7.0,3.606,810.0,9.0,3.649,819.0,5.0,3.684,824.0,8.0,3.724,832.0,13.0,3.787,845.0,31.0,3.945,876.0,128.0,4.527,1004.0,38.0,4.724,1042.0,83.0,5.144,1125.0,18.0,5.226,1143.0,-1143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Toner, Paul F.",4.351,980.0,12.0,4.404,992.0,6.0,4.431,998.0,0.0,4.432,998.0,3.0,4.447,1001.0,5.0,4.471,1006.0,4.0,4.489,1010.0,2.0,4.5,1012.0,4.0,4.523,1016.0,4.0,4.544,1020.0,8.0,4.597,1028.0,16.0,4.672,1044.0,4.0,4.697,1048.0,30.0,4.855,1078.0,25.0,4.973,1103.0,14.0,5.064,1117.0,25.0,5.222,1142.0,9.0,5.263,1151.0,153.0,6.002,1304.0,55.0,6.303,1359.0,5.0,6.327,1364.0,9.0,6.368,1373.0,16.0,6.442,1389.0,116.0,7.206,1505.0,19.0,7.297,1524.0,-1524.0,0.0,0.0,
"McGovern, Marc C.",8.347,1880.0,57.0,8.6,1937.0,21.0,8.693,1958.0,3.0,8.709,1961.0,1.0,8.715,1962.0,4.0,8.737,1966.0,1.0,8.743,1967.0,5.0,8.77,1972.0,14.0,8.842,1986.0,13.0,8.905,1999.0,15.0,9.006,2014.0,19.0,9.099,2033.0,17.0,9.188,2050.0,37.0,9.399,2087.0,91.0,9.82,2178.0,46.0,10.083,2224.0,132.0,10.772,2356.0,-103.0,10.301,2253.0,0.0,10.37,2253.0,0.0,10.45,2253.0,0.0,10.45,2253.0,0.0,10.45,2253.0,0.0,10.45,2253.0,0.0,10.788,2253.0,0.0,10.788,2253.0,0.0,11.264,2253.0,
"Musgrave, Adriane B.",2.575,580.0,5.0,2.597,585.0,3.0,2.611,588.0,0.0,2.611,588.0,2.0,2.621,590.0,2.0,2.631,592.0,2.0,2.64,594.0,5.0,2.664,599.0,1.0,2.671,600.0,5.0,2.695,605.0,6.0,2.732,611.0,4.0,2.752,615.0,13.0,2.815,628.0,13.0,2.887,641.0,-641.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Levy, Ilan",1.092,246.0,3.0,1.105,249.0,3.0,1.119,252.0,0.0,1.119,252.0,0.0,1.119,252.0,0.0,1.12,252.0,13.0,1.178,265.0,5.0,1.201,270.0,3.0,1.215,273.0,2.0,1.225,275.0,2.0,1.239,277.0,-277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
