candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer,r4_percent,r4_count,r4_transfer,r5_percent,r5_count,r5_transfer,r6_percent,r6_count,r6_transfer,r7_percent,r7_count,r7_transfer,r8_percent,r8_count,r8_transfer
F. X. FRANCIS XAVIER CROWLEY,24.681,7746.0,61,24.931,7807.0,76,25.252,7883.0,167,26.033,8050.0,144,26.911,8194.0,430,28.785,8624.0,1085,34.228,9709.0,2664,49.735,12373.0,-12373
MICHAEL GARCIA,17.563,5512.0,44,17.743,5556.0,86,18.073,5642.0,131,18.67,5773.0,172,19.524,5945.0,351,21.015,6296.0,1177,26.345,7473.0,-7473,0.0,0.0,0
NORMAN YEE,29.256,9182.0,69,29.543,9251.0,124,30.032,9375.0,163,30.845,9538.0,399,32.635,9937.0,260,34.035,10197.0,987,39.427,11184.0,1321,50.265,12505.0,4203
JOEL ENGARDIO,13.28,4168.0,40,13.438,4208.0,84,13.749,4292.0,130,14.3,4422.0,166,15.068,4588.0,255,16.165,4843.0,-4843,0.0,0.0,0,0.0,0.0,0
ROBERT J. SQUERI,4.923,1545.0,47,5.084,1592.0,32,5.202,1624.0,75,5.494,1699.0,86,5.862,1785.0,-1785,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
LYNN GAVIN,2.291,719.0,84,2.564,803.0,-803,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
ANDREW BLEY,2.629,825.0,100,2.954,925.0,147,3.434,1072.0,-1072,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
GLENN ROGERS,1.902,597.0,-597,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
JULIAN P. LAGOS,3.476,1091.0,81,3.743,1172.0,157,4.257,1329.0,111,4.657,1440.0,-1440,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
exhaust,0.0,0.0,71,0.0,71.0,97,0.0,168.0,295,0.0,463.0,473,0.0,936.0,489,0.0,1425.0,1594,0.0,3019.0,3488,0.0,6507.0,8170
colsum,100.001,31385.0,0,99.99999999999999,31385.0,0,99.999,31385.0,0,99.999,31385.0,0,99.99999999999999,31385.0,0,100.0,31385.0,0,100.0,31385.0,0,100.0,31385.0,0
