candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer
Bob Kiss,28.799,2585.0,14.0,28.965,2599.0,6.0,29.067,2605.0,376.0,33.764,2981.0,1332.0,51.511,4313.0,
Andy Montroll,22.984,2063.0,4.0,23.036,2067.0,13.0,23.209,2080.0,474.0,28.927,2554.0,-2554.0,0.0,0.0,
James Simpson,0.39,35.0,-35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Dan Smith,14.55,1306.0,9.0,14.655,1315.0,2.0,14.695,1317.0,-1317.0,0.0,0.0,0.0,0.0,0.0,
writeIns,0.401,36.0,1.0,0.412,37.0,-37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kurt Wright,32.877,2951.0,4.0,32.932,2955.0,5.0,33.028,2960.0,334.0,37.309,3294.0,766.0,48.489,4060.0,
exhaust,0.0,4.0,3.0,0.0,7.0,11.0,0.0,18.0,133.0,0.0,151.0,456.0,0.0,607.0,
colsum,100.001,8980.0,0.0,100.00000000000001,8980.0,0.0,99.999,8980.0,0.0,100.0,8980.0,0.0,100.0,8980.0,
