candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer
Carol Kummer,37.768,2964.0,1.0,37.935,2965.0,29.0,38.607,2994.0,89.0,40.635,3083.0,537.0,52.532,3620.0,
Dan W. Peterson,4.702,369.0,0.0,4.721,369.0,22.0,5.042,391.0,-391.0,0.0,0.0,0.0,0.0,0.0,
Steve Barland,19.636,1541.0,0.0,19.716,1541.0,15.0,20.064,1556.0,66.0,21.379,1622.0,-1622.0,0.0,0.0,
McClain Looney,1.924,151.0,0.0,1.932,151.0,-151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
writeIns,0.446,35.0,-35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jason Stone,35.525,2788.0,2.0,35.696,2790.0,24.0,36.286,2814.0,68.0,37.986,2882.0,389.0,47.468,3271.0,
exhaust,0.0,0.0,32.0,0.0,32.0,61.0,0.0,93.0,168.0,0.0,261.0,696.0,0.0,957.0,
colsum,100.001,7848.0,0.0,100.0,7848.0,0.0,99.999,7848.0,0.0,100.0,7848.0,0.0,100.0,7848.0,
