candidate,r1_percent,r1_count,r1_transfer
Joe H. Arellano,14.754,923.0,-923
Carol Romero-Wirth,52.909,3310.0,397
Nate Downey,32.337,2023.0,266
exhaust,0.0,0.0,260
colsum,100.0,6256.0,0
